@relation 's_0: -C -2'

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CLNAMM_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute isStatic_type numeric
@attribute number_private_visibility_attributes numeric
@attribute number_protected_visibility_attributes numeric
@attribute number_package_visibility_attributes numeric
@attribute num_final_attributes numeric
@attribute num_static_attributes numeric
@attribute num_final_static_attributes numeric
@attribute num_not_final_not_static_attributes numeric
@attribute num_final_not_static_attributes numeric
@attribute num_static_not_final_attributes numeric
@attribute number_public_visibility_methods numeric
@attribute number_private_visibility_methods numeric
@attribute number_protected_visibility_methods numeric
@attribute number_package_visibility_methods numeric
@attribute number_final_methods numeric
@attribute number_abstract_methods numeric
@attribute number_not_abstract_not_final_methods numeric
@attribute number_static_methods numeric
@attribute number_final_static_methods numeric
@attribute number_final_not_static_methods numeric
@attribute number_not_final_static_methods numeric
@attribute number_not_final_not_static_methods numeric
@attribute number_standard_design_methods numeric
@attribute number_constructor_DefaultConstructor_methods numeric
@attribute number_constructor_NotDefaultConstructor_methods numeric
@attribute isStatic_method numeric
@attribute is_LM {0,1}
@attribute is_FE {0,1}

@data
1,0,14,6,0,8,110,20,1,15,2,33,0.066667,7,6,1,0,18,2,0.388889,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,0,0,7,6,0,1,0,1,1
2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0
4,0,0,0,0,1,5,1,0,4,0,4,0,1,1,0,1,1,0,1,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,0,0,0
1,0,35,4,0,7,143,22,0,31,0,99,0.166667,5,8,7,4,26,0,0.192308,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,1,1
4,0,8,6,0,9,192,43,0,33,0,52,0.529412,14,36,9,5,44,0,0.318182,0,13,0,1,9,2,2,5,7,0,16,4,2,0,0,0,22,1,0,0,1,21,18,0,1,0,1,1
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
0,0,4,2,0,2,20,7,0,0,0,11,0.636364,1,1,7,0,1,0,1,0,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,0,0,0
1,1,0,0,1,1,4,1,0,1,0,1,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,0,0,0
0,0,13,4,0,3,250,1,0,4,0,32,0.1875,12,14,3,0,26,0,0.461538,0,5,0,0,0,0,0,5,0,0,9,0,0,0,0,0,9,0,0,0,0,9,4,0,1,0,0,1
0,1,24,6,1,8,374,87,0,39,0,72,0.076923,8,14,2,3,22,0,0.363636,0,4,0,0,0,0,0,4,0,0,2,4,0,0,0,0,6,0,0,0,0,6,4,0,1,0,1,1
0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,8,0,0,0,0,8,7,0,1,0,0,0
12,0,0,0,0,7,104,15,0,23,0,27,1,4,4,3,7,5,0,0.8,0,0,8,0,0,0,0,8,0,0,19,1,32,0,0,0,52,2,0,0,2,50,40,1,0,0,1,0
1,0,0,0,0,2,7,2,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,6,0,0,0,0,6,5,0,1,0,0,0
1,1,0,0,1,1,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,1,7,6,0,1,0,7,0,0,1,0,0
2,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,0,0,0
1,1,0,0,4,1,10,1,0,2,0,6,1,0,0,4,1,0,0,0,0,3,0,0,8,8,8,9,0,0,15,5,0,6,0,0,26,8,0,0,8,18,19,0,2,1,0,0
1,1,17,3,1,5,136,52,0,10,0,30,0.227273,2,8,5,3,13,0,0.153846,0,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,0,1,1
5,1,0,0,1,7,193,21,0,26,0,27,1,4,10,1,0,10,0,0.4,0,8,0,0,2,3,2,6,0,1,2,0,0,0,0,0,2,1,0,0,1,1,2,0,0,1,1,0
2,0,1,1,0,6,125,30,0,17,0,32,0.928571,6,12,13,3,12,0,0.5,0,1,2,15,12,13,12,5,0,1,2,3,9,0,0,0,14,1,0,0,1,13,12,1,0,0,1,0
1,0,12,4,0,10,102,18,0,28,0,57,0.076923,4,7,1,0,18,0,0.222222,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,1,1
4,0,3,1,0,7,166,46,0,12,0,33,0.6875,4,10,11,1,11,0,0.363636,0,37,0,0,11,11,11,26,0,0,36,27,3,0,0,0,66,2,0,0,2,64,45,0,3,0,1,0
0,0,0,0,0,1,12,1,0,2,0,7,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,8,0,0,20,9,1,0,0,0,30,0,0,0,0,30,23,0,1,0,0,0
0,1,5,3,1,3,35,5,0,4,0,11,0.2,4,4,1,2,6,0,0.666667,0,3,0,0,0,1,0,2,0,1,7,3,0,0,0,0,10,0,0,0,0,10,9,0,1,0,0,1
7,0,21,8,0,6,145,25,0,19,0,40,0,12,17,0,1,20,0,0.6,0,0,0,4,0,0,0,4,0,0,1,0,0,21,0,0,22,3,0,0,3,19,17,0,5,1,1,1
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,9,1,1,0,0,0,11,0,0,0,0,11,7,0,3,0,0,0
2,0,0,0,0,4,153,36,0,27,0,31,1,4,8,2,5,8,0,0.5,0,12,0,0,9,6,6,3,3,0,2,2,10,0,0,0,14,1,0,0,1,13,13,0,1,0,1,0
2,1,21,7,1,7,210,48,0,37,0,62,0.16,6,9,4,2,14,0,0.428571,0,7,0,0,1,0,0,6,1,0,4,5,2,0,0,0,11,0,0,0,0,11,10,1,0,0,1,1
1,0,0,0,0,3,11,4,0,2,0,3,1,2,3,1,0,3,0,0.666667,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0
9,0,5,3,0,6,152,27,0,22,0,33,0.375,8,12,3,0,15,0,0.533333,0,4,0,0,4,4,4,0,0,0,8,0,0,0,0,0,8,2,0,0,2,6,7,0,1,0,1,1
3,0,0,0,0,2,13,2,0,7,0,8,1,0,0,1,2,0,0,0,0,5,0,0,2,2,2,3,0,0,6,3,0,0,0,0,9,2,0,0,2,7,8,0,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8,1,12,4,1,7,115,26,0,33,0,54,0.294118,17,40,5,9,45,0,0.377778,0,4,7,0,18,19,18,9,0,1,158,6,1,10,1,0,174,4,0,1,4,170,124,0,1,0,1,1
0,0,0,0,0,3,15,4,0,1,0,3,1,0,0,2,0,0,0,0,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0
2,1,31,5,1,6,271,33,0,54,0,89,0.178571,14,32,5,0,49,0,0.285714,0,5,0,0,1,1,1,4,0,0,5,0,0,0,0,0,5,0,0,0,0,5,4,0,1,0,1,1
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0
0,2,3,1,5,3,40,10,0,1,0,11,0.7,1,2,7,1,2,0,0.5,0,10,0,9,3,3,3,19,0,0,9,7,0,1,0,0,17,1,0,0,1,16,14,0,1,0,0,0
1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0
2,4,0,0,4,1,4,1,0,2,0,4,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,3,2,0,0,0,0,5,1,0,0,1,4,3,0,1,0,0,0
1,0,0,0,0,1,4,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,0,0,0
2,0,2,1,0,1,6,1,0,3,0,7,0,1,1,0,0,3,0,0.333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
4,0,13,1,0,3,47,13,0,10,0,27,0.071429,2,2,1,9,6,0,0.333333,0,2,0,0,0,0,0,2,0,0,2,8,2,0,0,0,12,0,0,0,0,12,10,0,1,0,0,1
4,2,5,3,2,6,119,15,0,14,0,26,0.5,6,10,5,1,14,0,0.428571,0,11,0,0,0,2,0,15,0,2,6,1,1,0,0,0,8,0,0,0,0,8,6,0,1,0,1,1
26,0,19,5,0,8,576,55,6,120,3,152,0.269231,5,8,7,3,13,2,0.384615,0,51,0,0,7,7,7,50,0,0,10,22,0,1,0,0,33,0,0,0,0,33,29,0,1,0,1,1
2,0,0,0,0,3,16,3,0,7,0,6,1,1,1,1,1,1,0,1,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,0
1,1,2,1,1,8,103,16,0,21,0,30,0.428571,3,5,3,4,7,0,0.428571,0,6,0,0,5,5,5,1,0,0,3,7,0,0,0,0,10,1,0,0,1,9,9,0,1,0,1,0
1,0,0,0,0,1,4,1,0,1,0,1,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,0,0,0
5,1,14,5,1,6,105,22,0,14,0,32,0.066667,6,9,1,0,13,0,0.461538,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,11,1,0,0,1,10,10,0,1,0,1,1
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
1,0,0,0,0,1,4,1,0,1,0,2,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,8,0,0,0,0,8,7,0,1,0,0,0
4,0,10,8,0,6,118,21,2,22,2,43,0.277778,15,22,5,1,32,2,0.46875,0,2,0,4,5,5,5,1,0,0,8,0,0,0,0,0,8,1,0,0,1,7,7,0,1,0,1,1
3,1,0,0,1,6,160,31,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,3,0,0,3,1,3,0,1,1,1,0
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,11,11,0,0,0,0,0
5,0,18,2,0,2,29,19,0,6,0,22,0.1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,1,0,13,0,0,0,0,0,13,0,0,0,0,13,12,0,1,0,0,0
0,0,1,1,0,3,12,3,0,4,0,4,0,1,2,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,1,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1,0,4,1,0,1,1,3,3,0,1,0,0,0
1,0,1,1,0,2,15,1,0,1,0,7,1,4,4,4,1,5,0,0.8,0,5,0,0,2,3,2,3,0,1,7,1,1,0,0,0,9,1,0,0,1,8,4,0,1,0,0,0
1,0,1,1,0,1,3,1,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,0,4,4,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0,0
3,2,1,1,2,2,8,2,0,3,0,6,0.666667,2,2,2,0,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0
1,7,0,0,7,6,80,17,0,14,0,18,1,4,6,4,3,6,0,0.666667,0,8,0,0,2,1,1,6,1,0,5,1,10,0,8,0,8,0,0,8,0,8,7,0,0,0,1,0
4,0,41,6,0,6,381,150,1,29,3,77,0.229167,6,10,11,1,24,3,0.25,0,27,0,0,55,56,55,25,0,1,216,7,5,0,0,4,224,11,0,0,11,217,185,0,2,0,1,1
1,2,0,0,2,1,22,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,0,1,0,0
1,0,7,2,0,6,108,19,0,22,0,29,0,10,20,0,1,22,0,0.454545,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,2,0,2,0,0,1,1,1
2,0,11,3,0,6,156,13,0,25,0,40,0.214286,5,9,3,3,14,0,0.357143,0,2,0,0,6,7,6,0,0,1,1,4,0,0,0,0,5,0,0,0,0,5,5,0,0,0,1,1
1,0,0,0,0,1,4,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
4,0,7,5,0,6,122,25,0,16,0,28,0.2,5,4,2,2,5,0,1,0,4,0,28,10,9,9,30,1,0,57,1,0,9,0,0,67,6,0,0,6,61,34,0,2,1,1,1
0,1,1,1,1,1,4,1,0,0,0,1,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,8,1,0,0,0,0,9,0,0,0,0,9,4,0,3,0,0,0
5,0,22,6,0,6,115,20,0,22,0,67,0.034483,8,13,1,1,34,0,0.235294,0,1,0,0,1,1,1,0,0,0,11,0,0,0,0,0,11,0,0,0,0,11,10,0,1,0,1,1
1,0,0,0,0,1,6,2,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0
1,2,0,0,10,1,8,2,0,3,0,4,1,0,0,1,1,0,0,0,0,3,0,0,2,0,0,1,2,0,3,8,0,0,0,0,11,1,0,0,1,10,10,0,1,0,0,0
1,1,0,0,1,1,4,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,5,4,0,1,0,0,0
4,0,11,3,0,3,186,29,0,11,0,34,0.3125,11,23,5,2,33,0,0.333333,0,14,0,0,3,2,2,11,1,0,52,7,6,0,51,4,10,0,0,51,0,14,52,0,1,0,1,1
6,2,2,1,4,7,183,42,0,12,0,33,0.904762,1,4,19,2,4,0,0.25,0,1,25,12,11,9,9,28,2,0,7,2,19,2,0,0,30,0,0,0,0,30,28,0,1,0,1,0
1,0,0,0,0,1,3,1,0,1,0,2,1,0,0,1,1,0,0,0,0,4,0,0,1,1,1,3,0,0,5,20,0,0,0,0,25,0,0,0,0,25,24,0,1,0,0,0
5,1,35,6,1,7,223,49,2,29,3,81,0.146341,7,15,6,4,37,3,0.189189,0,1,5,0,2,2,2,6,0,0,14,0,2,1,0,0,17,1,0,0,1,16,11,0,2,0,1,1
0,1,0,0,1,4,137,7,0,15,0,17,0,2,3,0,0,3,0,0.666667,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,5,0,0,0,0,5,4,0,1,0,0,0
0,0,52,13,0,8,394,92,2,39,3,116,0.15873,23,35,10,7,49,3,0.469388,0,0,12,1,0,1,0,12,0,1,19,5,1,0,0,0,25,4,0,0,4,21,14,0,3,0,1,1
3,0,0,0,0,6,134,22,0,10,0,20,0.636364,1,1,7,13,1,0,1,0,4,17,0,9,6,6,14,3,0,34,10,19,0,4,4,55,1,0,4,1,58,50,0,4,0,1,0
2,0,1,1,0,7,138,25,0,27,0,30,0,1,3,0,0,4,0,0.25,0,0,6,0,0,0,0,6,0,0,3,5,1,0,0,0,9,0,0,0,0,9,7,1,0,0,1,0
1,1,0,0,1,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,7,1,0,0,0,0,8,0,0,0,0,8,3,0,2,0,0,0
0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,4,0,0,7,0,4,0,0,0,11,0,0,0,0,11,10,0,1,0,0,0
2,0,0,0,0,1,6,1,0,2,0,5,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,0,7,0,0,0,0,7,6,0,1,0,0,0
6,9,20,8,9,3,103,16,2,13,2,58,0.487179,13,21,19,2,39,2,0.333333,0,1,23,0,1,1,1,26,0,0,8,2,23,0,0,0,33,0,0,0,0,33,28,0,2,0,1,1
1,0,9,3,0,3,21,8,0,1,0,12,0.181818,6,4,2,1,7,0,0.857143,0,5,0,0,0,0,0,5,0,0,9,2,0,0,0,0,11,0,0,0,0,11,7,0,1,0,0,1
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,20,0,0,0,1,0,19,0,1,41,0,0,0,0,0,41,0,0,0,0,41,1,1,0,0,0,0
0,1,0,0,1,2,5,2,0,0,0,1,1,0,0,1,1,0,0,0,0,5,0,0,0,1,0,4,0,1,11,2,0,0,0,0,13,2,0,0,2,11,12,0,1,0,0,0
2,1,0,0,1,2,20,3,0,4,0,6,1,0,0,2,2,0,0,0,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,0,0
4,0,15,6,0,9,150,38,0,25,0,54,0.190476,17,27,4,2,35,0,0.485714,0,15,0,3,13,13,13,16,0,0,50,4,0,6,0,0,60,1,0,0,1,59,49,0,1,0,1,1
2,1,0,0,1,1,3,1,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,5,0,0,2,0,0,7,0,0,0,0,7,2,0,3,0,0,0
1,5,0,0,5,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
4,0,14,3,0,6,248,40,0,50,0,62,0,2,3,0,2,4,0,0.5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,3,3,0,0,0,1,1
4,0,13,3,0,6,103,29,0,16,0,28,0,6,11,0,0,11,0,0.545455,0,2,0,0,0,0,0,2,0,0,14,5,0,1,0,0,20,14,0,0,14,6,19,0,1,1,1,1
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,14,0,0,0,0,0,14,1,0,0,1,13,10,0,1,0,0,0
1,0,10,2,0,3,28,5,0,4,0,18,0.285714,1,1,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,0,1,0,0,1
5,1,0,0,1,6,101,32,0,8,0,13,1,5,7,5,8,7,0,0.714286,0,0,13,0,1,1,1,12,0,0,8,0,27,0,0,0,35,2,0,0,2,33,33,0,0,0,1,0
0,0,1,1,0,1,5,1,0,0,0,5,1,1,1,2,1,1,0,1,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,0,0,0
4,0,9,2,0,7,177,20,1,13,1,35,0.428571,2,5,6,0,20,1,0.1,0,8,0,0,6,7,6,1,0,1,6,0,0,0,0,0,6,0,0,0,0,6,5,0,1,0,1,1
3,0,29,7,0,7,142,26,2,22,2,69,0.171429,16,18,6,3,46,2,0.347826,0,15,0,0,0,1,0,14,0,1,70,5,0,0,0,0,75,1,0,0,1,74,58,0,0,0,1,1
2,0,0,0,0,2,30,2,0,11,0,12,1,2,2,1,3,2,0,1,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,0,0
0,0,1,1,0,2,5,2,0,0,0,2,1,3,2,1,0,4,0,0.75,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
11,0,0,0,0,6,346,51,0,32,0,47,0.133333,2,2,2,0,2,0,1,0,17,0,0,6,8,6,9,0,2,53,13,1,1,0,0,68,16,0,0,16,52,45,0,4,1,1,0
0,0,10,3,0,3,33,6,0,6,0,23,0.294118,5,6,5,3,6,0,0.833333,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,0,0,1
2,1,6,1,1,5,23,5,0,4,0,16,0.142857,1,1,1,0,6,0,0.166667,0,6,0,0,0,0,0,6,0,0,18,0,0,0,0,0,18,0,0,0,0,18,9,0,3,0,0,1
2,2,19,3,2,5,54,13,0,4,0,24,0.05,0,0,1,0,0,0,0,0,7,0,0,1,1,1,6,0,0,21,1,6,0,0,0,28,0,0,0,0,28,22,0,2,0,0,1
4,1,0,0,1,3,98,7,0,8,0,15,1,2,2,8,2,2,0,1,0,14,0,0,0,0,0,14,0,0,29,1,0,0,0,0,30,0,0,0,0,30,8,0,0,0,0,0
1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0
1,2,0,0,2,2,15,3,0,5,0,6,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0
1,0,0,0,0,2,31,2,0,6,0,5,0,9,10,0,0,10,0,0.9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,1,0,0
1,1,6,1,1,1,16,4,0,1,0,10,0.333333,1,2,3,0,2,0,0.5,0,0,0,0,4,4,4,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,0,0
1,1,0,0,1,1,4,1,0,1,0,3,1,0,0,2,0,0,0,0,0,14,0,1,12,14,12,1,0,2,4,12,0,0,0,0,16,1,0,0,1,15,14,0,2,0,0,0
1,0,8,3,0,4,244,41,0,59,0,84,0.578947,7,8,11,6,15,0,0.466667,0,5,12,0,8,7,7,14,1,0,17,1,22,0,0,0,40,0,0,0,0,40,37,0,1,0,1,1
4,0,0,0,0,10,223,29,0,14,0,15,1,6,11,1,1,12,0,0.5,0,2,0,0,1,1,1,1,0,0,7,1,5,0,0,0,13,0,0,0,0,13,12,0,1,0,1,0
4,0,52,6,0,6,157,15,2,23,2,112,0.103448,6,22,6,0,77,2,0.077922,0,6,0,0,0,0,0,6,0,0,7,0,2,0,0,0,9,0,0,0,0,9,3,0,1,0,1,1
5,0,0,0,0,6,110,35,0,14,0,28,1,0,0,11,1,0,0,0,0,8,0,0,22,23,22,6,0,1,8,20,0,0,1,0,27,9,1,0,8,19,22,0,3,0,1,0
1,0,1,1,0,1,5,1,0,1,0,2,1,3,3,1,0,4,0,0.75,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0
1,0,6,5,0,6,161,20,0,18,0,27,0.166667,8,17,1,1,22,0,0.363636,0,1,0,0,1,0,0,0,1,0,7,2,0,0,0,0,9,0,0,0,0,9,8,0,1,0,1,1
3,0,8,2,0,2,25,4,0,6,0,14,0,1,0,0,0,1,0,1,0,2,9,0,7,6,6,4,1,0,4,1,0,0,0,0,5,0,0,0,0,5,4,1,0,0,0,1
1,0,0,0,0,1,5,1,0,1,0,2,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,0
2,0,0,0,0,5,79,3,0,10,0,15,1,4,4,5,1,4,0,1,0,5,0,0,1,1,1,4,0,0,2,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0
4,0,11,1,0,3,99,15,0,17,0,44,0.214286,4,6,3,1,15,0,0.266667,0,6,0,0,1,1,1,5,0,0,5,7,1,0,0,2,11,0,0,0,0,13,11,0,2,0,1,1
7,0,9,2,0,5,176,23,0,18,0,32,0.1,3,3,1,2,7,0,0.428571,0,1,0,0,0,1,0,0,0,1,18,0,0,0,0,0,18,18,0,0,18,0,18,0,0,1,1,1
1,2,0,0,4,6,74,17,0,5,0,9,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,8,0,0,20,9,1,0,0,0,30,0,0,0,0,30,23,0,1,0,0,0
0,0,0,0,0,1,4,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,4,1,0,0,1,3,3,0,1,0,0,0
4,0,52,3,0,6,333,144,0,16,0,78,0,7,7,0,0,14,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,0,1,1
0,0,0,0,0,2,16,2,0,2,0,3,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,1,0,0,8,0,0,0,0,8,7,0,1,0,0,0
0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,0,0,0
1,1,0,0,1,1,6,2,0,1,0,2,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,4,0,1,11,2,0,0,0,0,13,2,0,0,2,11,12,0,1,1,0,0
1,0,33,5,0,7,142,42,0,12,0,51,0,7,16,0,9,21,0,0.333333,0,2,0,0,2,0,0,0,2,0,2,5,12,0,0,0,19,0,0,0,0,19,18,1,0,0,1,1
1,0,2,2,0,4,41,7,0,10,0,14,0.666667,3,4,2,1,5,0,0.6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,4,3,0,1,0,0,0
3,1,0,0,1,2,10,1,0,3,0,3,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,10,6,0,0,0,0,16,15,0,0,15,1,15,0,1,1,0,0
0,0,10,3,0,2,29,2,1,1,2,12,0,4,7,0,0,9,2,0.444444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1,1,2,2,1,1,5,1,0,1,0,5,0.666667,3,2,2,0,4,0,0.75,0,0,13,0,0,0,0,13,0,0,9,1,1,0,0,0,11,0,0,0,0,11,7,0,3,0,0,0
0,1,0,0,2,1,1,1,0,0,0,2,1,0,0,2,0,0,0,0,0,2,19,0,19,21,19,14,0,2,9,0,0,0,0,0,9,1,0,0,1,8,4,0,1,0,0,0
